t_ms,spL,vL,uL,dacL,spR,vR,uR,dacR
538425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
538985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
539985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
540985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
541985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
