t_ms,dt_us,min_us,max_us,mean_us,deadline_misses,cycles,stack_free_bytes
538325,20000,19897,20001,20000.0,0,26900,3348
539325,20000,19897,20001,20000.0,0,26950,3348
540325,20000,19897,20001,20000.0,0,27000,3348
541325,20000,19897,20001,20000.0,0,27050,3348
542325,20000,19897,20001,20000.0,0,27100,3348
543325,20000,19897,20001,20000.0,0,27150,3348
544325,20000,19897,20001,20000.0,0,27200,3348
545325,20000,19897,20001,20000.0,0,27250,3348
546325,20000,19897,20001,20000.0,0,27300,3348
547325,20000,19897,20001,20000.0,0,27350,3348
548325,20000,19897,20001,20000.0,0,27400,3348
549325,20000,19897,20001,20000.0,0,27450,3348
550325,20000,19897,20001,20000.0,0,27500,3348
551325,20000,19897,20001,20000.0,0,27550,3348
552325,20000,19897,20001,20000.0,0,27600,3348
553325,20000,19897,20001,20000.0,0,27650,3348
554325,20000,19897,20001,20000.0,0,27700,3348
555325,20000,19897,20004,20000.0,0,27750,3348
556325,20000,19897,20004,20000.0,0,27800,3348
557325,20000,19897,20004,20000.0,0,27850,3348
558325,20000,19897,20004,20000.0,0,27900,3348
559325,20000,19897,20004,20000.0,0,27950,3348
560325,20000,19897,20004,20000.0,0,28000,3348
561325,20000,19897,20004,20000.0,0,28050,3348
562325,20000,19897,20004,20000.0,0,28100,3348
563325,20000,19897,20004,20000.0,0,28150,3348
564325,20000,19897,20004,20000.0,0,28200,3348
565325,20000,19897,20004,20000.0,0,28250,3348
566325,20000,19897,20004,20000.0,0,28300,3348
567325,20000,19897,20004,20000.0,0,28350,3348
568325,20000,19897,20004,20000.0,0,28400,3348
569325,20000,19897,20004,20000.0,0,28450,3348
570325,20000,19897,20004,20000.0,0,28500,3348
571325,20000,19897,20004,20000.0,0,28550,3348
572325,20000,19897,20004,20000.0,0,28600,3348
573325,20000,19897,20004,20000.0,0,28650,3348
574325,20000,19897,20004,20000.0,0,28700,3348
575325,20000,19897,20004,20000.0,0,28750,3348
576325,20000,19897,20004,20000.0,0,28800,3348
577325,20000,19897,20004,20000.0,0,28850,3348
578325,20000,19897,20004,20000.0,0,28900,3348
579325,20000,19897,20004,20000.0,0,28950,3348
580325,20000,19897,20004,20000.0,0,29000,3348
581325,20000,19897,20004,20000.0,0,29050,3348
582325,20000,19897,20004,20000.0,0,29100,3348
583325,20000,19897,20004,20000.0,0,29150,3348
584325,20000,19897,20004,20000.0,0,29200,3348
585325,20000,19897,20004,20000.0,0,29250,3348
586325,20000,19897,20004,20000.0,0,29300,3348
587325,20000,19897,20004,20000.0,0,29350,3348
588325,20000,19897,20004,20000.0,0,29400,3348
589325,20000,19897,20004,20000.0,0,29450,3348
590325,20000,19897,20004,20000.0,0,29500,3348
591325,20000,19897,20004,20000.0,0,29550,3348
592325,20000,19897,20004,20000.0,0,29600,3348
593325,20000,19897,20004,20000.0,0,29650,3348
594325,20000,19897,20004,20000.0,0,29700,3348
595325,20000,19897,20004,20000.0,0,29750,3348
596325,20000,19897,20004,20000.0,0,29800,3348
597325,20000,19897,20004,20000.0,0,29850,3348
598325,20000,19897,20004,20000.0,0,29900,3348
599325,20000,19897,20004,20000.0,0,29950,3348
600325,20000,19897,20004,20000.0,0,30000,3348
601325,20000,19897,20004,20000.0,0,30050,3348
602325,20000,19897,20004,20000.0,0,30100,3348
603325,20000,19897,20004,20000.0,0,30150,3348
604325,20000,19897,20004,20000.0,0,30200,3348
605325,20000,19897,20004,20000.0,0,30250,3348
606325,20000,19897,20004,20000.0,0,30300,3348
607325,20000,19897,20004,20000.0,0,30350,3348
608325,20000,19897,20004,20000.0,0,30400,3348
609325,20000,19897,20004,20000.0,0,30450,3348
610325,20000,19897,20004,20000.0,0,30500,3348
611325,20000,19897,20004,20000.0,0,30550,3348
612325,20000,19897,20004,20000.0,0,30600,3348
613325,20000,19897,20004,20000.0,0,30650,3348
614325,20000,19897,20004,20000.0,0,30700,3348
615325,20000,19897,20004,20000.0,0,30750,3348
616325,20000,19897,20004,20000.0,0,30800,3348
